st_delivname,kepid,tm_designation,ra,dec,kepmag,teff,teff_prov,logg,logg_prov,feh,feh_prov,radius,mass,dens,prov_sec,nconfp,nkoi,ntce,st_quarters,st_vet_date
q1_q17_dr25_supp_stellar,6890094,2MASS J19540323+4223428,298.51349,42.395241,14.145999999999999,5411,KIC0,3.966,KIC0,0.18,KIC0,1.774,1.059,0.2673,DSEP,0,0,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,6890121,2MASS J19540423+4222394,298.51764,42.377628,14.855,5910,PHO1,4.376,KIC0,0.14,KIC0,1.111,1.07,1.099,DSEP,0,0,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,6890147,2MASS J19540580+4223070,298.52417,42.385288,14.065999999999999,6014,PHO1,4.363,KIC0,-0.04,KIC0,1.107,1.03,1.069,DSEP,0,0,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,6891299,2MASS J19550284+4218207,298.76184,42.305771,15.517000000000001,6046,PHO1,4.3469999999999995,KIC0,0.02,KIC0,1.138,1.048,1.001,DSEP,0,0,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,6891512,2MASS J19551172+4223271,298.79889,42.390888000000004,11.388,5853,PHO1,3.971,KIC0,-0.04,KIC0,1.795,1.101,0.268,DSEP,0,1,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,6921854,2MASS J18441490+4224496,281.0621,42.413792,15.251,5846,PHO1,4.399,KIC0,-0.5,KIC0,0.943,0.812,1.3659999999999999,DSEP,0,0,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,6921992,2MASS J18443253+4225516,281.13559,42.431019,15.151,5914,PHO1,4.376,KIC0,-0.18,KIC0,1.045,0.947,1.169,DSEP,0,0,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,6922071,2MASS J18444347+4225243,281.18112,42.423431,15.309000000000001,6025,PHO1,4.395,KIC0,-0.3,KIC0,1.02,0.943,1.251,DSEP,0,0,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,6922203,2MASS J18450243+4224118,281.26013,42.403290000000005,14.847000000000001,5991,PHO1,4.394,KIC0,-0.18,KIC0,1.0390000000000001,0.976,1.224,DSEP,0,1,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,6922277,2MASS J18451395+4227233,281.30814,42.456478000000004,13.007,6046,PHO1,4.349,KIC0,-0.38,KIC0,1.06,0.916,1.084,DSEP,0,0,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,6922301,2MASS J18451751+4229100,281.32297,42.486129999999996,11.799000000000001,5689,PHO1,4.144,FLK73,-0.24,KIC0,1.3090000000000002,0.871,0.5471,DSEP,0,0,0,,2018-01-06 0
