KIC,Period,teff,logg,radius,mass,dens
4846450,10.929,5787.0,4.351,1.0659999999999998,0.93,1.082
4575244,0.0,5845.0,4.374,1.108,1.06,1.097
7529341,0.0,6043.0,4.26,1.095,0.795,0.8523
8045945,12.403,5641.0,4.373,0.999,0.8590000000000001,1.215
11036936,17.297,5452.0,4.3260000000000005,1.061,0.8690000000000001,1.024
6526932,15.237,5446.0,4.388,0.961,0.825,1.3090000000000002
2011641,16.255,5468.0,4.121,1.461,1.0290000000000001,0.4643
5616846,13.381,5947.0,3.937,2.148,1.456,0.2069
10601604,13.644,6022.0,4.36,1.085,0.9840000000000001,1.084
11389437,13.044,6029.0,4.0539999999999985,1.633,1.102,0.3564
6676655,17.319,5357.0,4.357,1.036,0.89,1.127
8647149,10.518,5817.0,4.091,1.357,0.8290000000000001,0.467
6863530,20.167,5494.0,3.977,1.5619999999999998,0.843,0.3118
5033682,48.106,5738.0,3.946,1.864,1.119,0.2433
8886017,10.197,5702.0,4.371,1.008,0.872,1.198
4242173,14.45,5922.0,4.17,1.334,0.96,0.5703
8038666,13.804,5860.0,4.3439999999999985,1.077,0.9329999999999999,1.053
8442985,13.836,5721.0,4.37,1.035,0.915,1.164
11673674,4.746,6013.0,4.381,1.033,0.938,1.197
10935400,0.0,6045.0,4.395,1.122,1.145,1.141
11753179,15.807,5887.0,4.35,1.062,0.9209999999999999,1.083
9285949,0.0,5866.0,4.379,1.036,0.938,1.188
5899165,11.48,6014.0,4.393,1.063,1.0190000000000001,1.195
8938628,10.127,5815.0,4.349,0.969,0.764,1.183
10878105,16.912,5223.0,3.84,1.83,0.8440000000000001,0.1941
8655757,14.345,5783.0,4.317,1.167,1.031,0.9129
6923711,0.0,5412.0,3.775,2.044,0.9079999999999999,0.1497
9994789,17.346,5497.0,3.842,2.143,1.166,0.1669
8895012,16.129,5456.0,4.234,1.21,0.9159999999999999,0.7275
4447821,16.177,5720.0,4.263,1.133,0.857,0.8313
8029079,13.126,5650.0,4.3580000000000005,1.022,0.868,1.147
8077755,13.561,5650.0,4.391,0.926,0.77,1.365
3330643,14.791,5733.0,3.914,1.951,1.139,0.2159
5715686,9.899,6033.0,3.881,2.173,1.308,0.1795
6222407,15.602,5978.0,4.371,1.022,0.8959999999999999,1.182
9909504,15.054,5779.0,4.299,1.2,1.046,0.8521
7362355,18.954,5819.0,4.29,1.11,0.8759999999999999,0.9029
12504849,17.342,5695.0,4.256,1.2,0.945,0.7708
11188163,16.724,5847.0,4.2780000000000005,1.205,1.003,0.8083
11075222,18.649,5522.0,4.378,0.987,0.8490000000000001,1.244
8456181,19.49,5217.0,3.842,2.008,1.021,0.1777
6099668,0.0,5210.0,4.395,0.979,0.866,1.3019999999999998
4640942,11.928,6004.0,3.942,1.842,1.082,0.244
9050271,20.011,6000.0,4.349,1.036,0.873,1.107
11655945,21.713,5821.0,4.363,1.05,0.9279999999999999,1.13
6941078,15.098,5802.0,4.213,1.26,0.9470000000000001,0.667
4916165,15.33,5708.0,4.024,1.682,1.09,0.3227
12157369,24.078,5606.0,4.394,0.994,0.892,1.28
6267535,16.447,5460.0,4.1389999999999985,1.346,0.9109999999999999,0.5259
9944591,14.148,5746.0,4.254,1.161,0.882,0.7951
5025688,25.11,6046.0,4.362,1.218,1.247,0.9722
4246448,22.583,5666.0,4.224,1.2990000000000002,1.031,0.6618
4820062,23.596,5699.0,4.104,1.492,1.031,0.4370000000000001
12208631,15.753,5481.0,4.3610000000000015,1.014,0.86,1.164
9784166,12.315,6010.0,4.194,1.455,1.2109999999999999,0.5538
6605745,14.797,5907.0,4.242,1.258,1.0070000000000001,0.7129
5940590,15.368,5772.0,4.3439999999999985,0.991,0.79,1.143
10801738,14.321,6057.0,4.133,1.4780000000000002,1.082,0.4719
9398020,48.026,5313.0,3.709,2.782,1.444,0.09451
9815334,17.724,5256.0,3.678,2.8310000000000004,1.391,0.08639
7185607,14.577,5754.0,4.337,1.115,0.985,1.001
12509088,13.627,6038.0,3.842,2.153,1.175,0.1659
9051723,57.992,5395.0,4.362,1.011,0.858,1.169
10656508,10.017,5819.0,4.2410000000000005,1.248,0.9890000000000001,0.7163
5697072,13.853,5556.0,4.398,0.929,0.789,1.383
4443452,15.324,5637.0,4.374,1.072,0.993,1.134
9458127,35.379,5927.0,4.173,1.423,1.099,0.5375
6497336,11.695,6021.0,4.216,1.3630000000000002,1.114,0.6199
3869891,13.476,5674.0,4.098,1.432,0.938,0.4496
7986726,0.0,6038.0,4.322,1.109,0.9420000000000001,0.9731
7918653,12.515,5607.0,3.857,1.742,0.795,0.2117
9285636,16.914,5654.0,4.129,1.389,0.948,0.4976
5444548,14.779,5799.0,4.3610000000000015,1.078,0.972,1.094
10594040,5.581,6046.0,4.334,1.101,0.953,1.007
11456170,16.205,5397.0,3.648,2.604,1.0979999999999999,0.08757000000000001
3965661,13.634,5716.0,4.356,1.05,0.912,1.109
6188437,15.123,5738.0,4.243,1.159,0.858,0.7757
3736105,13.923,6042.0,3.873,1.989,1.077,0.1929
11962791,47.984,5369.0,4.383,0.982,0.848,1.263
10514649,23.831,5651.0,4.388,0.972,0.8440000000000001,1.293
3112234,20.182,5597.0,4.084,1.556,1.07,0.4004
9041133,21.774,5989.0,3.851,2.079,1.121,0.1755
4168903,42.698,5231.0,3.756,2.323,1.123,0.1261
5355471,16.768,6007.0,4.106,1.374,0.879,0.4768
4773496,0.0,6038.0,4.2780000000000005,1.104,0.8440000000000001,0.8825
8293403,22.697,5778.0,4.382,1.024,0.922,1.21
7417322,17.58,5441.0,4.35,1.084,0.958,1.0590000000000002
7199917,15.643,5551.0,3.876,1.985,1.08,0.1946
8509361,17.564,5743.0,3.881,1.971,1.077,0.1982
12106092,14.132,5989.0,3.872,1.931,1.012,0.1979
6776594,18.646,5964.0,3.934,1.801,1.016,0.2451
6967105,10.999,5201.0,3.73,2.616,1.339,0.1054
6145937,19.709,5388.0,3.751,2.401,1.185,0.1207
6431741,17.76,5290.0,3.738,2.067,0.852,0.1359
9724635,15.771,5696.0,4.369,0.973,0.8079999999999999,1.236
2012005,42.798,5692.0,3.938,1.78,1.002,0.2502
7269718,0.0,6045.0,4.395,1.122,1.145,1.141
12108333,82.767,5991.0,4.212,1.25,0.9279999999999999,0.6699
10989278,10.347,5786.0,4.391,1.047,0.983,1.205
8621911,12.867,6028.0,4.39,1.106,1.095,1.138
6212024,17.108,5989.0,4.359,1.117,1.0390000000000001,1.0490000000000002
11400548,0.0,5858.0,4.303,1.102,0.89,0.9362
8757293,17.834,5814.0,4.332,1.073,0.902,1.029
9593390,10.661,5613.0,3.632,2.195,0.753,0.1003
10074149,9.159,5292.0,3.929,1.673,0.867,0.2607
6966513,0.0,5790.0,4.397,1.026,0.9570000000000001,1.25
5481695,15.01,5908.0,4.273,1.109,0.8420000000000001,0.8685
11602191,17.706,5942.0,4.342,1.065,0.91,1.061
9823415,27.759,5477.0,3.959,1.662,0.9179999999999999,0.2817
10585775,18.88,5257.0,3.683,2.7,1.2830000000000001,0.09181
7094022,13.593,5971.0,4.336,1.083,0.927,1.029
