,kepid
532,5096701
533,4548654
534,5861010
535,3448818
536,11140232
537,5783441
538,10264583
539,8048003
540,11074253
541,6468089
542,5900081
543,4759796
544,9291569
545,4908107
546,8914238
547,6791808
548,12118443
549,5905714
550,5164924
551,6463499
552,11857920
553,11443087
554,9508996
555,11751202
556,9334867
557,6867032
558,10734703
559,8129352
560,8329496
561,5854038
562,7677340
563,4861991
564,11244547
565,7953766
566,6964343
567,10490960
568,10354861
569,9349757
570,3642564
571,3342794
572,8885226
573,9279765
574,9641657
575,7547448
576,12266454
577,11038123
578,3626665
579,4043166
580,5353874
581,9278084
582,6125921
583,5821550
584,2018619
585,5354631
586,8481416
587,6059988
588,3529147
589,3324568
590,4456150
591,4768279
592,12506744
593,12252617
594,11014767
595,10684371
596,8081256
597,3113630
598,5005751
599,7761055
600,4907266
601,9447625
602,8261336
603,9142010
604,10122003
605,9027846
606,8639332
607,6110128
608,8591424
609,11621155
610,6293199
611,6509581
612,8182091
613,9828294
614,11958479
615,8214403
616,5344310
617,10420475
618,10718221
619,5306664
620,5511081
621,9412189
622,4356698
623,7886424
624,9813473
625,4727174
626,3762671
627,7660779
628,4842459
629,12218985
630,6922277
631,7381225
632,4636995
633,11913722
634,6437057
635,8702647
636,9752863
637,8590546
638,5109309
639,5641000
640,12152537
641,4172574
642,5273519
643,10145773
644,5480328
645,5395681
646,8057543
647,3837275
648,8782055
649,7908531
650,9995771
651,8972493
652,10035635
653,8265199
654,3735634
655,5716330
656,7733614
657,7429981
658,10449601
659,3527398
660,5871653
661,5344592
662,9532845
663,5374789
664,5171167
665,8496484
666,5120654
667,3248860
668,8867572
669,7516073
670,2974741
671,10796226
672,11507400
673,11713414
674,5301565
675,10450522
676,4672403
677,6761777
678,12011069
679,10591797
680,11661685
681,7373483
682,3854949
683,7540808
684,5219915
685,4912589
686,7034723
687,9513745
688,1576662
689,11404451
690,11768317
691,3744009
692,10352941
693,5221138
694,6548359
695,9835525
696,10854941
697,6669107
698,6102826
699,6671492
700,8289822
701,6526427
702,8315266
703,6950934
704,10935147
705,4447115
706,10515602
707,6837722
708,11245226
709,11553836
710,3101707
711,11968301
712,10031964
713,4833352
714,11357555
715,10604174
716,9344234
717,6106748
718,9631285
719,3626433
720,5302560
721,9335664
722,9970807
723,6289134
724,3424056
725,5636871
726,6288960
727,8844456
728,9603445
729,11133464
730,8676175
731,4282993
732,8585148
733,6283563
734,8294921
735,10604315
736,8444720
737,10646461
738,8688275
739,8637151
740,3328134
741,7779029
742,8265761
743,8075941
744,12600214
745,2307470
746,11401954
747,11247541
748,1873703
749,6199665
750,8453238
751,8843356
752,11622645
753,7300738
754,9334736
755,6184293
756,9243360
757,4751368
758,8345807
759,6922309
760,8114465
