KIC,Period
7050370,51.975
8179635,15.041
6105359,17.346
9898857,14.725
10593587,17.621
2010835,27.427
5385647,16.021
4172164,41.351
3230787,8.866
6314433,16.731
11876347,23.738
11285935,11.224
757099,0.363
9245354,0.0
12105345,18.422
9048239,10.633
10844288,21.0
6425088,11.365
2283989,13.785
10586967,19.17
5184018,23.738
10580913,17.409
9107602,11.99
2998680,17.652
6182700,12.42
6185417,16.665
8574950,31.763
4066688,18.582
11361601,24.303
4633575,19.099
9963635,35.804
10385437,12.594
8678337,16.033
10924572,15.867
8737020,20.035
7013222,23.081
7362863,0.0
6307430,8.898
7765135,2.549
5954304,9.228
5450769,22.641
4480749,18.51
10554689,16.858
8053926,23.214
7377160,0.0
11460716,17.984
3437548,1.829
9592239,12.788
9183522,9.858
6766634,14.404
7598321,15.837
6963092,14.458
8935480,18.916
4474532,12.703
5780885,4.885
7283306,20.46
8949925,17.717
12884118,13.929
6343819,0.0
5943886,36.869
9152016,44.994
6182131,7.934
7770569,17.112
4248541,17.24
7017281,6.191
5636733,12.716
9345393,26.393
5731733,16.232
8377257,18.133
10580281,40.643
6509957,11.813
10583818,23.006
10399343,18.412
10089269,0.0
11499859,17.46
5000509,46.07
7918172,18.034
3437785,15.638
10404873,15.004
11290555,15.972
11200049,17.105
5271947,19.649
9673173,3.549
9569401,0.0
5019736,14.326
10160355,14.732
11571404,16.361
4555166,15.631
4571573,8.51
9137437,9.273
7372866,0.0
7741084,14.735
8684730,19.841
5269651,13.607
5096701,20.732
4548654,9.808
5861010,50.81
3448818,21.076
11140232,17.853
5783441,18.469
10264583,15.21
8048003,27.109
11074253,34.435
6468089,0.396
5900081,19.499
4759796,12.29
9291569,13.866
4908107,18.59
8914238,13.278
6791808,14.756
12118443,40.753
5905714,9.19
5164924,21.814
6463499,10.772
11857920,15.653
11443087,30.648
9508996,13.091
11751202,18.008
9334867,15.264
6867032,46.437
10734703,15.999
5854038,15.003
7677340,11.465
4861991,7.575
11244547,19.543
7953766,14.262
6964343,11.061
10490960,2.841
10354861,46.14
9349757,19.828
3642564,13.541
3342794,14.973
8885226,42.138
9279765,0.0
9641657,46.348
7547448,8.645
11038123,17.331
3626665,46.264
4043166,0.0
5353874,21.388
9278084,16.1
6125921,10.835
5821550,5.719
2018619,4.932
5354631,13.218
8481416,46.441
6059988,18.378
3529147,14.404
3324568,15.669
4456150,7.297
4768279,17.214
12506744,16.396
12252617,21.356
11014767,47.054
10684371,41.393
8081256,36.966
3113630,4.776
5005751,8.533
7761055,13.301
4907266,21.941
8261336,15.152
9142010,7.617
10122003,20.46
9027846,22.104
8639332,16.286
8591424,0.0
11621155,92.935
6293199,0.0
6509581,14.765
8182091,18.615
9828294,41.744
11958479,9.999
8214403,28.302
10420475,36.966
10718221,12.514
5306664,14.306
5511081,24.955
9412189,11.98
4356698,23.26
7886424,30.628
9813473,10.238
7660779,7.852
4842459,17.994
12218985,45.502
6922277,23.365
7381225,15.547
4636995,19.009
11913722,19.556
6437057,12.429
8702647,15.368
9752863,13.245
8590546,0.0
5109309,3.926
5641000,14.011
12152537,14.855
4172574,15.384
5273519,10.144
10145773,8.514
5480328,39.262
5395681,19.527
8057543,39.396
3837275,17.95
8782055,22.513
7908531,15.867
9995771,14.948
8972493,9.069
10035635,61.612
3735634,2.332
5716330,1.569
7733614,33.562
7429981,21.076
10449601,24.888
3527398,26.593
5871653,8.297
9532845,3.432
5374789,3.891
5171167,15.171
8496484,31.205
5120654,27.106
3248860,13.184
8867572,16.999
7516073,17.465
2974741,20.017
10796226,10.274
11507400,12.376
11713414,24.185
5301565,16.246
10450522,16.037
4672403,30.788
6761777,18.496
12011069,26.067
10591797,20.408
11661685,21.246
7373483,9.909
3854949,14.192
7540808,24.755
5219915,12.872
4912589,11.136
7034723,28.831
9513745,22.811
1576662,36.532
11404451,15.681
11768317,16.232
3744009,19.031
10352941,16.305
5221138,20.013
6548359,5.229
9835525,0.0
10854941,16.815
6669107,21.874
6102826,32.368
6671492,28.642
8289822,13.623
6526427,11.643
8315266,45.706
6950934,10.812
10935147,20.916
4447115,18.675
10515602,18.475
6837722,6.887
11245226,14.988
11553836,1.259
11968301,17.984
10031964,16.164
4833352,14.801
11357555,14.209
10604174,19.665
9344234,8.555
3626433,6.32
5302560,28.903
9335664,11.152
9970807,12.221
6289134,20.551
3424056,11.012
5636871,17.488
6288960,45.706
8844456,28.355
9603445,3.554
11133464,51.859
8676175,18.973
4282993,11.533
8585148,24.467
6283563,14.397
8294921,12.56
10604315,12.619
8444720,9.127
10646461,28.301
8688275,21.863
8637151,11.114
3328134,29.448
7779029,17.501
8265761,20.298
8075941,16.281
12600214,17.894
2307470,33.906
11401954,16.096
1873703,17.187
6199665,11.492
8453238,18.102
8843356,19.495
11622645,11.843
7300738,15.006
9334736,43.356
6184293,14.654
9243360,15.77
4751368,7.668
8345807,10.945
8114465,20.227
4449814,9.878
9533353,13.179
7820558,9.994
11237282,20.26
8007133,0.0
10684670,13.339
8249914,11.709
6763595,9.436
5876088,0.0
11760693,28.272
6204684,11.892
10197310,13.645
2447932,20.851
7840438,7.073
5568259,13.488
9774303,47.785
12156742,7.964
8389565,0.0
10579356,18.162
2422417,22.062
6606787,0.0
4372541,5.903
12367000,25.52
8591667,39.684
9229632,10.206
11018232,21.678
8041971,17.978
4348178,17.012
11351621,0.0
3831324,48.335
11824498,58.411
7703955,12.316
10619632,11.564
4947242,18.436
10802826,14.688
8526865,14.315
9327408,22.062
2708499,51.975
4735931,22.136
7421886,35.852
8315622,44.475
6423236,11.573
8392053,30.545
4281895,3.181
5556379,14.706
9880161,50.913
8741476,0.0
4243262,21.487
9641341,14.047
10710946,46.535
5395400,9.882
9945233,35.251
5219664,14.114
9663141,19.549
9540730,16.807
12406744,16.573
7516518,48.284
4140933,16.668
4930802,15.698
10583381,16.705
11289899,18.471
10800697,9.094
7341050,20.766
4764033,25.937
9299809,22.415
4158803,13.882
7297647,12.744
10862833,17.637
8848543,18.781
3338421,2.338
8524904,15.9
5513893,18.553
5130380,9.975
12024120,12.284
10810121,20.314
6629042,8.644
8618712,21.522
5698325,21.806
4459394,4.537
6104792,17.834
8112608,40.792
7663039,31.245
9719713,17.295
7732139,16.668
7627739,11.837
6750902,0.469
9141578,14.566
7336013,0.0
7281979,17.022
8282874,18.736
9574179,14.467
5344211,29.711
3965733,15.317
8611897,17.978
10938141,15.858
8943248,46.255
8154444,25.834
6976550,16.863
2557302,17.626
3641849,17.396
4069222,1.43
5734046,19.56
7440048,13.782
11134820,40.394
10091083,53.404
10977652,16.469
2693925,61.685
9094773,10.161
8086432,18.562
10166297,0.463
9508956,12.69
4648919,0.626
11770476,8.844
10716350,32.882
8248342,23.173
11080134,18.27
3234139,1.865
10802368,11.709
7585737,17.692
5534208,44.561
3847907,3.573
11495219,24.515
8695149,16.724
10556590,14.074
4640996,14.306
5164549,9.863
5903003,1.399
11657526,51.398
4830074,20.551
