,KIC,Teff,logg,Mass,Period
22981,9758420,5605,4.81,0.9931,51.724
22982,9760257,5279,4.52,0.9065,47.717
22983,9760326,6061,4.73,1.1259,58.961000000000006
22984,9760468,4532,4.59,0.7093,64.947
22985,9760475,6498,4.62,1.2755,1.992
22986,9760631,4850,4.6,0.7951,42.238
22987,9760729,6408,4.2,1.2424,24.323
22988,9760796,5929,4.6,1.0855,20.941
22989,9760862,6270,4.27,1.1941,6.61
22990,9760906,5942,4.64,1.0894,18.320999999999998
22991,9761169,5934,4.24,1.087,18.083
22992,9761198,5962,4.21,1.0954,57.338
22993,9761260,5620,4.38,0.9972,41.806000000000004
22994,9761373,6197,4.34,1.1696,17.828
22995,9761403,4866,4.29,0.7993,40.148
22996,9761447,5419,4.37,0.9432,21.159000000000002
22997,9761459,6068,4.34,1.1281,12.788
22998,9761691,6109,4.26,1.1411,14.314
22999,9762514,4716,4.76,0.7596,45.208999999999996
23000,9762555,5673,4.64,1.0118,24.427
23001,9762605,5772,4.38,1.0397,28.454
23002,9762744,5412,3.92,0.9413,0.358
23003,9762757,5897,4.49,1.076,42.788000000000004
23004,9762786,6271,4.32,1.1944,2.258
23005,9762789,5635,4.58,1.0013,31.212
23006,9762874,5096,4.42,0.8591,34.604
23007,9762906,6204,4.33,1.1719,11.97
23008,9762947,6401,4.44,1.2399,47.202
23009,9762963,5328,4.51,0.9193,62.605
23010,9763027,5235,4.41,0.8951,35.293
23011,9763200,5302,4.62,0.9125,39.141
23012,9763203,4759,4.4,0.7711,12.23
23013,9763274,4915,4.39,0.8122,59.708999999999996
23014,9763343,4948,4.73,0.8208,52.933
23015,9763403,4847,3.88,0.7944,0.337
23016,9763641,5245,4.5,0.8977,36.986999999999995
23017,9763667,5618,4.53,0.9967,30.712
23018,9763824,5599,4.43,0.9915,64.66199999999999
23019,9764476,4927,4.41,0.8153,43.553999999999995
23020,9764501,5571,4.83,0.9839,26.502
23021,9764642,5913,4.29,1.0807,20.526
23022,9764654,5802,4.57,1.0483,23.54
23023,9764750,4530,4.54,0.7088,33.56
23024,9764760,5282,3.74,0.9073,1.7269999999999999
23025,9765508,5855,4.43,1.0636,36.166
23026,9765614,5762,4.2,1.0368,35.411
23027,9765892,5216,4.52,0.8901,33.304
23028,9766032,4988,4.63,0.8311,42.492
23029,9766037,5851,4.57,1.0625,23.531
23030,9766211,5939,4.54,1.0885,12.02
23031,9766231,5735,4.66,1.0292,32.418
23032,9766237,5674,4.56,1.0121,41.473
23033,9766271,6251,4.35,1.1876,26.378
23034,9766374,4618,4.41,0.7331,28.883000000000003
23035,9767010,6446,4.35,1.2562,5.39
23036,9767222,6196,4.43,1.1693,15.753
