,KIC,Teff,logg,Mass,Period
0,1027110,4155,4.5,0.6046,1.7009999999999998
1,1027277,4326,4.57,0.6735,60.136
2,1160684,3952,4.48,0.5239,0.419
3,1161315,4247,4.59,0.6416,41.838
4,1163114,4049,4.53,0.5622,0.7659999999999999
5,1164584,4154,4.5,0.6042,0.37799999999999995
6,1577167,3836,4.79,0.4788,1.0
7,1718059,3918,4.71,0.5106,50.645
8,1720670,3927,4.72,0.5141,15.038
9,1724498,4270,4.61,0.6509,30.838
10,1995168,3916,4.71,0.5098,28.894000000000002
11,1995305,3274,5.03,0.2778,54.2
12,1996728,3549,4.88,0.3718,53.792
13,2010137,3859,4.48,0.4877,1.584
14,2014684,4028,4.54,0.5539,1.768
15,2016946,4064,4.81,0.5682,56.468
16,2020307,4387,4.49,0.6981,57.0
17,2166547,3743,4.83,0.4433,26.642
18,2282663,4125,4.56,0.5926,69.189
19,2283892,4280,4.84,0.6549,42.614
20,2284919,3564,4.82,0.3771,21.833000000000002
21,2285481,4304,4.53,0.6646,28.924
22,2297384,4184,4.54,0.6162,0.337
23,2297825,4169,4.52,0.6102,0.337
24,2305283,3495,4.86,0.3525,1.0
25,2306630,4329,4.77,0.6747,29.272
26,2309070,4361,4.45,0.6876,60.821000000000005
27,2424191,3929,4.44,0.5149,3.423
28,2436209,4179,4.53,0.6142,0.215
29,2436332,4054,4.5,0.5642,0.37799999999999995
30,2436814,4076,4.5,0.573,0.439
31,2436824,4066,4.5,0.569,0.317
32,2436849,4204,4.5,0.6243,19.81
33,2437040,4051,4.52,0.563,0.419
34,2437402,4144,4.52,0.6002,0.235
35,2437507,4024,4.47,0.5523,0.541
36,2437539,4150,4.49,0.6026,0.235
37,2437589,4163,4.52,0.6078,0.255
38,2437698,4182,4.53,0.6154,0.337
39,2437805,4147,4.51,0.6014,0.337
40,2437816,3996,4.47,0.5412,0.603
41,2437972,4266,4.55,0.6492,0.29600000000000004
42,2438038,4165,4.54,0.6086,0.37799999999999995
43,2438094,4158,4.47,0.6058,1.093
44,2439496,4321,4.68,0.6714,38.099000000000004
45,2442692,4040,4.41,0.5587,51.933
46,2443944,4336,4.47,0.6775,33.077
47,2448727,4325,4.51,0.6731,0.276
48,2451529,3337,4.98,0.2984,1.0
49,2557479,4081,4.48,0.575,62.174
50,2569360,4021,4.51,0.5511,0.501
51,2570518,4218,4.53,0.6299,0.501
52,2574699,4328,4.52,0.6743,36.213
53,2577056,4350,4.42,0.6832,37.097
54,2583649,4306,4.7,0.6654,42.31
55,2692429,4301,4.63,0.6634,20.526
56,2709731,4138,4.57,0.5978,15.154000000000002
57,2721113,3530,4.98,0.365,1.0
58,2721506,4149,4.43,0.6022,62.423
59,2831943,4108,4.4,0.5858,39.978
60,2833945,4311,4.64,0.6674,44.188
61,2834053,4322,4.7,0.6718,46.211000000000006
62,2837046,3383,4.99,0.3139,60.882
63,2845560,4250,4.58,0.6428,42.141999999999996
64,2846051,4012,4.46,0.5476,1.614
65,2846944,4049,4.54,0.5622,1.318
66,2847114,3914,4.51,0.509,1.318
67,2850262,4385,4.79,0.6973,46.371
68,2850322,4224,4.64,0.6323,64.21300000000001
69,2850913,4307,4.42,0.6658,0.215
70,2854099,4299,4.67,0.6626,0.9840000000000001
71,2854411,4354,4.57,0.6848,28.32
72,2971679,4107,4.47,0.5854,35.749
73,2972492,4317,4.55,0.6698,47.527
74,2985404,4323,4.66,0.6722,46.64
75,2986860,4181,4.51,0.615,1.093
76,2991497,3926,4.72,0.5137,43.636
77,3098586,4371,4.91,0.6916,25.184
78,3102561,4200,4.6,0.6227,41.699
79,3111407,4341,4.77,0.6795,43.983000000000004
80,3119525,3679,4.77,0.4193,1.0
81,3130278,4404,4.52,0.705,0.327
82,3216554,4223,4.53,0.6319,41.25899999999999
83,3218080,4299,4.45,0.6626,44.086000000000006
84,3228276,3249,5.12,0.2698,1.0
85,3232334,3932,4.54,0.5161,40.019
86,3232393,3941,4.72,0.5196,14.32
87,3234941,4269,4.61,0.6505,50.175
88,3235567,3601,4.88,0.3906,29.541999999999998
89,3236003,4213,4.6,0.6279,46.097
90,3248658,4081,4.47,0.575,38.115
91,3324375,4101,4.66,0.583,41.184
92,3328643,3932,4.71,0.5161,1.0
93,3329865,3960,4.45,0.5271,40.453
94,3331515,4135,4.62,0.5966,47.872
95,3335266,4326,4.4,0.6735,68.443
96,3335305,4370,4.52,0.6912,40.857
97,3346467,3951,4.71,0.5235,1.0
98,3352523,4025,4.53,0.5527,37.251
99,3353108,3906,4.77,0.5059,1.0
100,3353880,4287,4.64,0.6577,43.446999999999996
101,3426250,3990,4.7,0.5389,22.84
102,3426852,4089,4.57,0.5782,39.684
103,3430778,4299,4.62,0.6626,42.699
104,3430981,4154,4.57,0.6042,28.414
105,3431143,3725,4.58,0.4365,3.484
106,3431246,4058,4.63,0.5658,43.81399999999999
107,3432286,3755,4.84,0.4478,1.0
108,3439791,3753,4.78,0.4471,0.43700000000000006
109,3453664,4278,4.71,0.6541,57.562
110,3455493,4335,4.67,0.6771,19.973
111,3457861,3915,4.72,0.5094,1.0
112,3530287,4329,4.66,0.6747,28.76
113,3532233,4218,4.62,0.6299,41.082
114,3545291,3747,4.77,0.4448,29.272
115,3547906,3906,4.72,0.5059,67.378
116,3559731,4352,4.64,0.684,44.641000000000005
117,3561148,3507,4.05,0.3568,60.177
118,3633335,3691,4.59,0.4238,2.83
119,3633735,4293,4.38,0.6601,36.638000000000005
120,3642676,4318,4.61,0.6702,32.689
121,3658066,3909,4.79,0.5071,39.6
122,3658619,3388,4.92,0.3155,44.423
123,3658781,3551,4.92,0.3725,1.0
124,3728205,4254,4.58,0.6444,21.712
125,3731435,4201,4.48,0.6231,61.516999999999996
126,3735269,4220,4.53,0.6307,0.29600000000000004
127,3735699,3953,4.53,0.5243,2.605
128,3743562,4271,4.67,0.6513,30.741999999999997
129,3833890,4159,4.55,0.6062,27.287
130,3836105,4059,4.54,0.5662,1.788
131,3836257,3850,4.74,0.4842,1.0
132,3848056,4174,4.47,0.6122,35.31
133,3851673,4094,4.49,0.5802,19.691
134,3859706,4339,4.68,0.6787,39.56
135,3860871,4250,4.73,0.6428,40.765
136,3865534,4067,4.62,0.5694,41.455
137,3866232,3839,4.78,0.4799,17.526
138,3940781,4287,4.61,0.6577,38.732
139,3946065,4299,4.55,0.6626,52.653999999999996
140,3952780,4325,4.72,0.6731,39.629
141,3955963,3818,4.76,0.4719,51.031000000000006
142,3956389,3811,4.73,0.4692,1.0
143,3957332,4160,4.57,0.6066,19.921
144,3964632,3926,4.44,0.5137,1.287
145,3969220,4028,4.45,0.5539,1.349
146,3974127,4301,4.51,0.6634,0.225
147,4036311,4310,4.36,0.667,15.110999999999999
148,4042185,4361,4.69,0.6876,35.376999999999995
149,4044277,4360,4.67,0.6872,32.979
150,4060347,3837,4.74,0.4792,2.135
151,4063943,4080,4.74,0.5746,21.128
152,4071678,4283,4.49,0.6561,40.847
153,4076888,4365,4.74,0.6892,33.164
154,4077867,3490,4.92,0.3508,0.96
155,4078900,3903,4.73,0.5047,48.32899999999999
156,4136435,4255,4.61,0.6448,3.135
157,4137187,3868,4.73,0.4911,1.0
158,4139175,4217,4.53,0.6295,28.74
159,4140796,4219,4.48,0.6303,0.276
160,4142455,4314,4.59,0.6686,46.425
161,4143733,4103,4.6,0.5838,46.795
162,4147149,4319,4.62,0.6706,32.214
163,4148836,4400,4.57,0.7033,42.492
164,4149896,4346,4.79,0.6815,39.713
165,4155840,3431,4.9,0.3302,48.79
166,4157872,4297,4.61,0.6618,44.559
167,4158858,4183,4.66,0.6158,45.159
168,4242987,4113,4.6,0.5878,43.575
169,4246729,4189,4.53,0.6182,0.255
170,4248675,4208,4.28,0.6259,0.37799999999999995
171,4249500,3345,4.97,0.3011,50.032
172,4252080,3940,4.43,0.5192,1.4809999999999999
173,4253510,4077,4.54,0.5734,33.766999999999996
174,4262814,3721,4.76,0.435,20.276
175,4268911,4114,4.66,0.5882,56.178999999999995
176,4270283,4336,4.66,0.6775,31.741
177,4270441,3707,4.86,0.4297,20.278
178,4271075,4276,4.53,0.6533,47.958
179,4271415,4284,4.68,0.6565,30.590999999999998
180,4277598,3350,4.96,0.3028,52.623000000000005
181,4345291,4034,4.53,0.5563,44.718999999999994
182,4346953,4231,4.55,0.6351,0.39799999999999996
183,4347371,4345,4.41,0.6811,37.547
184,4348195,4213,4.62,0.6279,13.047
185,4357990,4228,4.66,0.6339,34.998000000000005
186,4358801,4382,4.63,0.6961,49.419
187,4358910,4363,4.54,0.6884,28.495
188,4367318,3653,4.81,0.4096,42.258
189,4371437,4320,4.45,0.671,26.576
190,4375359,3396,5.01,0.3183,45.812
191,4376841,3775,4.52,0.4554,4.271
192,4377055,3905,4.72,0.5055,23.761999999999997
193,4378642,4119,4.64,0.5902,32.412
194,4386094,4230,4.56,0.6347,35.555
195,4443512,4334,4.56,0.6767,30.834
196,4446937,4263,4.62,0.648,41.756
197,4454364,3604,4.83,0.3916,1.0
198,4456589,4263,4.51,0.648,24.98
199,4465790,4034,4.58,0.5563,20.442999999999998
200,4465957,3453,4.92,0.3379,1.0
201,4469629,4358,4.5,0.6864,36.781
202,4472096,4129,4.64,0.5942,11.136
203,4480680,4336,4.59,0.6775,47.016999999999996
204,4480880,4297,4.55,0.6618,42.952
205,4543237,3845,4.72,0.4822,1.0
206,4543424,4105,4.54,0.5846,39.815
207,4546719,4287,4.56,0.6577,33.481
208,4554999,4201,4.59,0.6231,47.886
209,4555523,3958,4.72,0.5263,21.954
210,4568493,4211,4.59,0.6271,55.982
211,4568737,4402,4.63,0.7042,37.133
212,4571307,4394,4.59,0.7009,40.561
213,4575141,3927,4.71,0.5141,1.0
214,4579983,4220,4.61,0.6307,33.736
215,4588827,4171,4.61,0.611,38.895
216,4646464,4378,4.57,0.6945,32.013000000000005
217,4670415,3976,4.71,0.5334,1.0
218,4671899,4222,4.58,0.6315,31.66
219,4673366,3933,4.69,0.5165,35.819
220,4680677,3799,4.75,0.4646,45.678999999999995
221,4731815,4264,4.66,0.6484,28.176
222,4736011,4367,4.52,0.69,32.838
223,4737129,3632,4.83,0.4019,54.178000000000004
224,4737398,4289,4.74,0.6585,34.248000000000005
225,4738956,4208,4.66,0.6259,46.865
226,4740044,3921,4.72,0.5118,1.0
227,4758472,4404,4.73,0.705,33.554
228,4760625,4253,4.71,0.644,41.646
229,4761488,4256,4.58,0.6452,56.765
230,4768944,3408,4.98,0.3224,34.035
231,4769680,4183,4.6,0.6158,30.545
232,4813925,3649,4.81,0.4082,1.0
233,4814724,4264,4.51,0.6484,0.644
234,4818778,4327,4.54,0.6739,60.576
235,4824324,4326,4.3,0.6735,69.382
236,4827244,4131,4.57,0.595,32.162
237,4833059,4286,4.6,0.6573,56.591
238,4840079,3375,4.93,0.3112,1.0
239,4844204,4363,4.43,0.6884,51.63399999999999
240,4847713,4107,4.58,0.5854,43.93600000000001
241,4864391,3808,4.78,0.468,19.569000000000003
242,4903497,4206,4.54,0.6251,0.606
243,4903839,4242,4.56,0.6396,0.461
244,4904726,4152,4.59,0.6034,44.313
245,4914737,3926,4.71,0.5137,1.0
246,4930324,4127,4.57,0.5934,38.505
247,4931188,3706,4.78,0.4294,1.0
248,4932675,3348,4.98,0.3021,55.211999999999996
249,4948655,4194,4.65,0.6202,32.255
250,4949012,3956,4.71,0.5255,1.0
251,4990862,3574,4.81,0.3808,37.075
252,4991026,3605,4.84,0.392,28.576999999999998
253,4992379,4103,4.47,0.5838,58.174
254,4992637,4175,4.62,0.6126,44.494
255,4997179,3275,5.04,0.2782,1.0
256,5002294,4304,4.69,0.6646,27.081
257,5006739,4396,4.64,0.7017,31.785
258,5009036,3715,4.88,0.4327,49.29600000000001
259,5020447,4247,4.6,0.6416,26.686
260,5033582,4231,4.46,0.6351,57.327
261,5036804,4222,4.51,0.6315,39.144
262,5038462,4266,4.61,0.6492,26.717
263,5079019,4216,4.62,0.6291,28.613000000000003
264,5079348,3295,5.01,0.2846,1.0
265,5080174,4082,4.69,0.5754,45.714
266,5083938,3953,4.48,0.5243,41.946999999999996
267,5093980,3702,4.89,0.4279,41.777
268,5107392,4216,4.58,0.6291,34.104
269,5110817,3720,4.82,0.4346,1.0
270,5125383,4269,4.55,0.6505,19.48
271,5125745,3556,4.82,0.3743,1.0
272,5130870,4404,4.4,0.705,40.53
273,5165550,4216,4.49,0.6291,31.764
274,5176630,4113,4.54,0.5878,31.342
275,5184495,4303,4.71,0.6642,48.81100000000001
276,5185509,3541,4.87,0.3689,1.0
277,5218947,4092,4.31,0.5794,32.418
278,5256645,3900,4.7,0.5036,24.96
279,5262820,3916,4.71,0.5098,1.0
280,5263722,4213,4.71,0.6279,42.818999999999996
281,5264662,4338,4.56,0.6783,34.584
282,5264804,4306,4.64,0.6654,45.74100000000001
283,5266117,3928,4.71,0.5145,1.0
284,5273236,4091,4.66,0.579,37.696
285,5281608,4304,4.65,0.6646,29.874000000000002
286,5287939,3522,4.94,0.3621,47.038000000000004
287,5297394,4208,4.66,0.6259,42.736999999999995
288,5297821,3681,4.9,0.42,52.11600000000001
289,5298911,3532,4.9,0.3657,44.596000000000004
290,5299281,3594,4.8,0.388,4.873
291,5301178,4363,4.59,0.6884,31.375999999999998
292,5341573,3699,4.86,0.4267,1.0
293,5344350,3603,4.92,0.3913,1.0
294,5351320,3349,4.96,0.3024,0.644
295,5357504,3919,4.71,0.511,45.093999999999994
296,5364090,4160,4.61,0.6066,35.79
297,5373788,4404,4.74,0.705,30.383000000000003
298,5373964,4346,4.49,0.6815,44.035
299,5390305,4339,4.49,0.6787,0.337
300,5395942,4037,4.58,0.5575,3.239
301,5428252,4358,4.67,0.6864,32.99
302,5429117,3947,4.67,0.5219,1.7269999999999999
303,5437880,4314,4.68,0.6686,42.299
304,5440397,4381,4.35,0.6957,37.874
305,5444922,4359,4.67,0.6868,46.292
306,5444972,3999,4.28,0.5424,1.216
307,5512203,4099,4.61,0.5822,36.534
308,5513833,3245,5.07,0.2685,69.382
309,5516428,4310,4.62,0.667,32.047
310,5523045,4056,4.56,0.565,41.358000000000004
311,5526021,3779,4.76,0.4569,26.164
312,5531604,4110,4.51,0.5866,32.582
313,5536822,3836,4.78,0.4788,1.0
314,5537064,3917,4.7,0.5102,22.845
315,5543917,4359,4.58,0.6868,32.244
316,5558805,4160,4.51,0.6066,0.358
317,5564673,4191,4.59,0.619,51.074
318,5610323,3726,4.82,0.4369,1.0
319,5613912,4299,4.52,0.6626,45.18899999999999
320,5615457,4179,4.54,0.6142,31.427
321,5621250,4356,4.65,0.6856,49.888999999999996
322,5629759,4198,4.6,0.6218,37.025999999999996
323,5642003,4265,4.46,0.6488,0.255
324,5642574,4259,4.51,0.6464,0.235
325,5644355,4122,4.55,0.5914,0.644
326,5648556,4223,4.64,0.6319,37.363
327,5653152,4385,4.52,0.6973,3.6010000000000004
328,5685904,4117,4.51,0.5894,45.066
329,5687033,3936,4.72,0.5176,41.006
330,5693298,3839,4.74,0.4799,43.06399999999999
331,5699171,4178,4.58,0.6138,0.642
332,5700336,4096,4.6,0.581,40.47
333,5716526,4250,4.45,0.6428,1.328
334,5734009,3961,4.48,0.5274,40.367
335,5735207,4403,4.55,0.7046,32.152
336,5773146,4195,4.53,0.6206,37.748000000000005
337,5774607,3353,5.02,0.3038,1.0
338,5780503,4314,4.57,0.6686,31.371
339,5794694,4298,4.65,0.6622,42.982
340,5819458,3824,4.29,0.4742,44.504
341,5823135,3999,4.37,0.5424,4.771
342,5855703,4335,4.43,0.6771,44.945
343,5859744,3877,4.73,0.4946,23.441999999999997
344,5867094,3352,4.95,0.3034,55.163000000000004
345,5872283,4204,4.63,0.6243,44.591
346,5887803,4002,4.57,0.5436,35.82
347,5940100,3351,4.96,0.3031,46.18600000000001
348,5941136,4288,4.62,0.6581,67.932
349,5941975,4077,4.55,0.5734,24.537
350,5946806,3348,4.97,0.3021,49.621
351,5949874,4358,4.55,0.6864,44.659
352,5952378,3843,4.73,0.4815,12.27
353,5953947,3230,5.08,0.2638,44.251000000000005
354,5960966,4348,4.55,0.6823,32.38
355,5963179,4356,4.61,0.6856,36.723
356,5979710,4267,4.52,0.6496,21.166
357,5980248,4264,4.72,0.6484,46.313
358,5987444,3922,4.72,0.5122,35.278
359,5987757,3755,4.79,0.4478,1.0
360,5991117,4109,4.56,0.5862,28.433000000000003
361,5991378,4131,4.59,0.595,19.185
362,6045030,4307,4.52,0.6658,42.287
363,6048655,3666,4.88,0.4145,28.096
364,6061592,4380,4.6,0.6953,29.22
365,6104995,4322,4.59,0.6718,31.642
366,6105749,4168,4.58,0.6098,44.37
367,6110166,3245,5.07,0.2685,1.0
368,6110369,4193,4.49,0.6198,46.193999999999996
369,6116632,4212,4.64,0.6275,47.641999999999996
370,6123830,3950,4.72,0.5231,44.06100000000001
371,6124132,3476,5.02,0.3459,61.99
372,6124936,4289,4.55,0.6585,43.29600000000001
373,6125059,3798,4.78,0.4642,1.0
374,6147617,3742,5.15,0.4429,4.9239999999999995
375,6181143,3274,5.03,0.2778,66.8
376,6181204,3367,4.95,0.3085,1.0
377,6181761,3460,4.92,0.3403,56.828
378,6182508,3709,4.81,0.4305,1.0
379,6182516,4290,4.51,0.6589,26.43
380,6185083,4360,4.68,0.6872,32.255
381,6185594,4186,4.37,0.617,28.451999999999998
382,6187322,3965,4.7,0.529,62.809
383,6199740,4155,4.66,0.6046,40.482
384,6205405,3722,4.78,0.4354,1.0
385,6210982,4197,4.67,0.6214,42.095
386,6212288,4219,4.57,0.6303,42.492
387,6221981,4390,4.71,0.6993,44.798
388,6234199,3948,4.71,0.5223,1.0
389,6263060,3882,4.73,0.4966,25.215
390,6268173,4348,4.57,0.6823,34.931
391,6268982,3860,4.74,0.488,1.0
392,6271120,3924,4.72,0.5129,1.0
393,6281040,4156,4.51,0.605,42.053000000000004
394,6342520,3968,4.7,0.5302,24.837
395,6345207,3887,4.73,0.4985,1.0
396,6350390,4348,4.59,0.6823,44.766999999999996
397,6351754,4310,4.45,0.667,38.548
398,6352901,3336,5.02,0.2981,1.0
399,6367195,4334,4.48,0.6767,37.913000000000004
400,6368427,4223,4.76,0.6319,35.953
401,6390057,4165,4.57,0.6086,18.687
402,6390121,4173,4.85,0.6118,46.865
403,6392383,4271,4.59,0.6513,38.486999999999995
404,6431075,4189,4.52,0.6182,35.048
405,6442541,4344,4.53,0.6807,40.265
406,6446622,4119,4.56,0.5902,32.942
407,6451717,3643,4.89,0.4059,1.0
408,6461153,4081,4.6,0.575,19.452
409,6467894,3894,4.73,0.5012,1.0
410,6470362,3315,5.0,0.2912,52.504
411,6501347,3831,4.72,0.4769,1.0
412,6504035,3791,4.75,0.4615,1.0
413,6504259,4400,4.44,0.7033,31.375999999999998
414,6507276,3300,5.1,0.2863,1.0
415,6521136,4223,4.46,0.6319,20.149
416,6521399,3672,4.77,0.4167,44.617
417,6521678,4120,4.57,0.5906,58.348
418,6527283,3991,4.71,0.5393,18.932000000000002
419,6541829,3771,4.78,0.4539,25.675
420,6547418,3949,4.56,0.5227,39.323
421,6606956,4312,4.52,0.6678,46.665
422,6666126,4350,4.43,0.6832,42.982
423,6670624,3911,4.73,0.5079,37.118
424,6696674,3698,4.81,0.4264,1.0
425,6699367,3556,4.99,0.3743,1.0
426,6699878,4365,4.66,0.6892,44.198
427,6718482,3859,4.74,0.4877,2.926
428,6719579,4338,4.54,0.6783,39.029
429,6721402,4322,4.56,0.6718,36.81
430,6750866,3891,4.75,0.5001,1.0
431,6750930,4145,4.58,0.6006,41.593
432,6751520,3847,4.74,0.483,41.028
433,6751891,3418,5.02,0.3258,44.29
434,6767592,4268,4.6,0.65,44.693999999999996
435,6768217,3605,4.83,0.392,1.0
436,6782009,3828,4.75,0.4757,39.779
437,6836624,3918,4.78,0.5106,1.0
438,6838113,3884,4.72,0.4973,19.910999999999998
439,6853131,4277,4.53,0.6537,17.993
440,6861510,4295,4.49,0.6609,42.562
441,6862901,3939,4.7,0.5188,26.15
442,6877599,3916,4.7,0.5098,1.0
443,6880639,4305,4.81,0.665,26.97
444,6922388,4298,4.53,0.6622,32.244
445,6924644,4095,4.56,0.5806,43.032
446,6927946,4138,4.62,0.5978,32.418
447,6932794,4232,4.62,0.6355,44.463
448,6933498,4188,4.47,0.6178,34.666
449,6946948,4231,4.57,0.6351,46.73
450,6947459,3465,5.39,0.342,1.0
451,6947858,3458,4.88,0.3396,42.838
452,6950796,4200,4.5,0.6227,42.839
453,6954041,3901,4.73,0.504,1.0
454,6962429,4247,4.61,0.6416,56.489
455,6966955,4194,4.64,0.6202,46.415
456,7007761,3906,4.72,0.5059,1.0
457,7014965,4168,4.57,0.6098,49.298
458,7019844,3833,4.77,0.4776,1.0
459,7021696,4337,4.56,0.6779,30.436999999999998
460,7024045,4230,4.44,0.6347,41.507
461,7031948,3845,4.73,0.4822,42.126000000000005
462,7051662,4340,4.57,0.6791,47.13
463,7090779,3875,4.73,0.4939,1.0
464,7092051,3664,4.81,0.4137,1.0
465,7102773,4311,4.54,0.6674,37.24
466,7104739,3628,4.83,0.4004,66.46600000000001
467,7122176,4035,4.51,0.5567,41.777
468,7137883,3950,4.71,0.5231,53.68899999999999
469,7175889,4162,4.54,0.6074,44.913999999999994
470,7200148,3357,5.01,0.3051,1.0
471,7201373,4279,4.55,0.6545,40.299
472,7204656,4080,4.62,0.5746,17.665
473,7207578,4067,4.38,0.5694,35.025999999999996
474,7221823,4295,4.47,0.6609,45.761
475,7254750,3795,4.77,0.463,34.775999999999996
476,7260604,4302,4.58,0.6638,41.001999999999995
477,7265095,4309,4.64,0.6666,46.64
478,7265592,4400,4.68,0.7033,41.571999999999996
479,7271381,4151,4.55,0.603,44.951
480,7284772,4305,4.55,0.665,43.696999999999996
481,7292747,4321,4.7,0.6714,39.954
482,7297372,4320,4.63,0.671,31.843000000000004
483,7298655,4383,4.51,0.6965,32.05
484,7300506,3591,4.8,0.3869,49.888999999999996
485,7303973,3918,4.71,0.5106,51.097
486,7336414,3835,4.74,0.4784,41.13
487,7337588,3456,4.92,0.3389,53.284
488,7345195,3807,4.72,0.4676,1.0
489,7349014,3802,4.75,0.4657,41.755
490,7357646,4192,4.59,0.6194,35.98
491,7364389,3491,4.86,0.3511,51.093999999999994
492,7366529,4187,4.52,0.6174,43.9
493,7377223,3430,4.96,0.3299,1.0
494,7378061,3447,4.88,0.3358,52.79
495,7378315,4213,4.64,0.6279,45.131
496,7385913,3626,4.79,0.3997,1.0
497,7416538,4308,4.53,0.6662,34.109
498,7418013,3950,4.71,0.5231,1.0
499,7418952,4220,4.52,0.6307,33.889
500,7419039,4319,4.74,0.6706,37.731
501,7438997,3863,4.74,0.4892,48.336000000000006
502,7450182,4039,4.54,0.5583,43.013999999999996
503,7451448,3997,4.75,0.5416,18.831
504,7460575,3958,4.72,0.5263,42.89
505,7464965,4037,4.51,0.5575,32.03
506,7509952,4284,4.6,0.6565,40.591
507,7514582,4083,4.5,0.5758,48.458
508,7516038,4350,4.41,0.6832,36.586
509,7518934,4122,4.75,0.5914,24.13
510,7523710,3402,4.91,0.3203,64.744
511,7539013,3961,4.72,0.5274,1.0
512,7542911,3317,4.99,0.2918,31.948
513,7544363,4381,4.52,0.6957,39.1
514,7546105,3609,4.91,0.3935,18.755
515,7547279,4391,4.62,0.6997,35.458
516,7549171,3856,4.8,0.4865,40.611999999999995
517,7581869,3550,5.39,0.3721,1.624
518,7582511,3813,4.74,0.4699,1.0
519,7592283,4334,4.51,0.6767,38.208
520,7601970,4114,4.59,0.5882,39.076
521,7612968,3949,4.71,0.5227,35.897
522,7617164,4095,4.62,0.5806,20.319000000000003
523,7628679,4230,4.43,0.6347,41.306999999999995
524,7658632,4139,4.62,0.5982,41.788000000000004
525,7659417,3564,4.88,0.3771,1.0
526,7662697,3716,4.79,0.4331,17.563
527,7664406,3443,4.94,0.3344,1.0
528,7668974,4144,4.42,0.6002,57.1
529,7676737,4084,4.46,0.5762,29.064
530,7680819,3786,4.8,0.4596,1.0
531,7684686,3729,4.89,0.438,24.333000000000002
532,7694656,4358,4.51,0.6864,32.649
533,7734760,4311,4.69,0.6674,41.211999999999996
534,7756248,4087,4.22,0.5774,29.496
535,7764870,4318,4.58,0.6702,28.895
536,7768446,4365,4.5,0.6892,27.955
537,7772757,3886,4.73,0.4981,45.423
538,7797925,4291,4.6,0.6593,28.386
539,7799432,4001,4.7,0.5432,1.0
540,7801638,4208,4.6,0.6259,39.713
541,7801869,4049,4.72,0.5622,20.342
542,7809108,3934,4.73,0.5169,21.134
543,7809913,4317,4.42,0.6698,45.655
544,7811365,4172,4.59,0.6114,38.446
545,7813530,3951,4.71,0.5235,1.0
546,7815890,4326,4.7,0.6735,33.934
547,7816331,3798,4.76,0.4642,24.633000000000003
548,7816419,4069,4.26,0.5702,42.911
549,7833371,4206,4.63,0.6251,44.841
550,7836762,3999,4.47,0.5424,0.807
551,7866904,3944,4.44,0.5208,2.503
552,7868967,3867,4.72,0.4908,41.318000000000005
553,7871319,4209,4.58,0.6263,13.859000000000002
554,7875533,4168,4.94,0.6098,46.722
555,7877416,4389,4.62,0.6989,37.506
556,7880206,3829,4.74,0.4761,40.939
557,7887160,3929,4.72,0.5149,1.0
558,7890694,3494,4.9,0.3522,1.0
559,7899864,4297,4.52,0.6618,45.233000000000004
560,7900811,4396,4.74,0.7017,32.173
561,7902182,4204,4.67,0.6243,13.517000000000001
562,7904375,4243,4.55,0.64,0.537
563,7905906,4218,4.46,0.6299,45.128
564,7914882,4311,4.78,0.6674,27.739
565,7916063,4204,4.59,0.6243,48.07
566,7936150,4258,4.62,0.646,34.047
567,7938499,4223,4.63,0.6319,44.167
568,7954421,4296,4.45,0.6613,14.339
569,7955497,4316,4.33,0.6694,30.945999999999998
570,7976805,3526,4.85,0.3635,43.411
571,7977227,4056,4.46,0.565,40.265
572,7977517,4065,4.52,0.5686,36.648
573,7988823,3563,4.88,0.3768,28.566
574,7988894,3792,4.76,0.4619,21.936
575,8004876,3336,4.98,0.2981,1.0
576,8006118,4323,4.58,0.6722,40.632
577,8006924,4318,4.63,0.6702,48.131
578,8007910,3322,4.99,0.2935,50.87
579,8009807,4330,4.48,0.6751,63.15
580,8013221,3643,4.6,0.4059,57.748000000000005
581,8016310,4364,4.45,0.6888,30.660999999999998
582,8018340,3825,4.76,0.4745,22.211
583,8022889,3702,4.81,0.4279,28.178
584,8029495,4327,4.49,0.6739,47.396
585,8029604,4255,4.7,0.6448,41.261
586,8036363,4330,4.38,0.6751,29.843000000000004
587,8052511,3600,4.86,0.3902,34.48
588,8057610,3748,4.78,0.4452,1.719
589,8073888,4209,4.59,0.6263,32.009
590,8074742,4298,4.61,0.6622,38.496
591,8078599,4082,4.52,0.5754,21.798000000000002
592,8078835,4398,4.57,0.7025,44.985
593,8086858,4146,4.48,0.601,56.982
594,8087212,4320,4.62,0.671,66.749
595,8109709,3991,4.43,0.5393,34.144
596,8114225,3590,4.89,0.3866,39.302
597,8115835,4259,4.54,0.6464,29.089000000000002
598,8121875,4204,4.5,0.6243,42.696000000000005
599,8121928,4153,4.5,0.6038,33.077
600,8123934,4165,4.5,0.6086,47.407
601,8125143,4378,4.62,0.6945,41.777
602,8146477,4108,4.57,0.5858,40.959
603,8153528,3979,4.72,0.5345,60.351000000000006
604,8173553,4215,4.55,0.6287,43.615
605,8180253,3927,4.73,0.5141,1.0
606,8180354,4294,4.48,0.6605,1.236
607,8190594,4323,4.71,0.6722,41.214
608,8191181,3749,4.78,0.4456,42.879
609,8194410,3952,4.72,0.5239,1.0
610,8195281,4168,4.63,0.6098,31.008000000000003
611,8196534,4132,4.51,0.5954,35.317
612,8217154,3869,4.72,0.4915,61.924
