,KIC,Period,teff_x,logg_x,radius_x,mass_x,dens_x,teff_y,logg_y,radius_y,mass_y,dens_y
46,11444868,15.239,5636.0,3.8930000000000002,2.005,1.146,0.2002,5636,3.893,2.005,1.146,0.2002
47,8300063,18.278,5696.0,3.841,2.116,1.131,0.1683,5696,3.841,2.116,1.131,0.1683
48,9492028,11.552,5492.0,4.3580000000000005,1.003,0.8370000000000001,1.167,5492,4.3580000000000005,1.003,0.8370000000000001,1.167
49,9158153,13.99,5578.0,4.003,1.507,0.835,0.3438,5578,4.003,1.507,0.835,0.3438
50,7820702,19.48,5462.0,4.295,1.162,0.972,0.8723,5462,4.295,1.162,0.972,0.8723
51,9419047,14.332,5827.0,4.23,1.215,0.915,0.7189,5827,4.23,1.215,0.915,0.7189
52,6609683,14.123,5947.0,4.3919999999999995,1.013,0.923,1.25,5947,4.392,1.013,0.9229999999999999,1.25
53,11547205,0.0,5979.0,4.341,0.9740000000000001,0.758,1.157,5979,4.341,0.974,0.758,1.157
54,5124445,12.802,5914.0,4.287,1.079,0.8220000000000001,0.9226,5914,4.287,1.079,0.8220000000000001,0.9226
55,8332200,47.924,5623.0,4.2330000000000005,1.19,0.884,0.7386,5623,4.2330000000000005,1.19,0.884,0.7386
56,2987321,0.0,6028.0,4.316,1.165,1.024,0.9124,6028,4.316,1.165,1.024,0.9124
57,7364979,14.280999999999999,5949.0,4.33,1.0270000000000001,0.8220000000000001,1.07,5949,4.33,1.027,0.8220000000000001,1.07
58,12458691,10.163,5446.0,4.388,0.961,0.825,1.3090000000000002,5446,4.388,0.961,0.825,1.3090000000000002
59,3858988,13.56,5753.0,4.335,1.078,0.918,1.03,5753,4.335,1.078,0.9179999999999999,1.03
60,4757794,18.177,6043.0,4.356,1.149,1.092,1.014,6043,4.356,1.149,1.092,1.014
61,8191871,21.081,5772.0,3.872,2.128,1.228,0.1796,5772,3.872,2.128,1.228,0.1796
62,10319352,16.417,5626.0,4.101,1.521,1.065,0.4266,5626,4.101,1.521,1.065,0.4266
63,3839620,13.325999999999999,5991.0,4.289,1.135,0.914,0.8803,5991,4.289,1.135,0.914,0.8803
64,9720115,0.0,5835.0,4.298,1.103,0.882,0.9254,5835,4.298,1.103,0.882,0.9254
65,4274412,16.869,5714.0,4.371,1.0070000000000001,0.8690000000000001,1.2,5714,4.371,1.007,0.8690000000000001,1.2
66,11616117,13.595,5528.0,4.39,1.0390000000000001,0.966,1.2109999999999999,5528,4.39,1.039,0.966,1.211
67,5811881,12.133,5798.0,4.2810000000000015,1.065,0.79,0.9206,5798,4.2810000000000015,1.065,0.79,0.9206
68,9593493,16.164,6057.0,4.098,1.521,1.058,0.4237,6057,4.098,1.521,1.058,0.4237
69,12122131,9.162,5930.0,4.309,1.069,0.8490000000000001,0.9781,5930,4.309,1.069,0.8490000000000001,0.9781
70,3533000,17.869,5873.0,3.741,1.932,0.7490000000000001,0.1463,5873,3.741,1.932,0.7490000000000001,0.1463
71,8196963,0.0,5846.0,3.957,1.7380000000000002,0.998,0.2678,5846,3.957,1.7380000000000002,0.998,0.2678
72,6836316,9.0,6040.0,3.988,1.722,1.053,0.2903,6040,3.988,1.722,1.053,0.2903
