KIC,Period
12105960,6.788
10598142,16.241
5426926,25.854
8413707,53.994
8078396,6.233
10337695,4.608
7549389,17.981
9971477,12.96
7203835,15.022
7284159,4.517
11411029,18.921
7092051,22.126
8389292,1.799
4995372,14.462
10215121,22.727
7287368,7.231
6859833,18.152
8125304,2.365
5880374,15.526
7658785,23.13
5183357,9.79
8694123,16.644
9092513,2.238
8431695,7.912
9884627,6.999
11082722,13.918
10532561,5.347
12215591,24.548
4451756,19.955
8311858,5.049
11031297,47.32
7350738,16.679
5814173,20.087
5383548,26.815
5296036,5.971
5607987,3.33
4565794,15.802
10752443,10.554
11760165,14.073
5985708,13.423
6778358,11.146
4770712,8.985
4825739,14.128
5535942,8.276
10203256,13.08
9531847,17.672
5648757,19.654
9771453,2.039
10031091,7.321
3751118,15.073
9754429,5.637
5265563,16.981
5783874,15.017
6105715,8.059
2715495,16.771
8179973,15.11
6280952,47.142
6105516,21.007
5370683,10.823
9885882,9.937
5950676,9.694
10923702,21.397
7303249,14.208
7938392,17.118
10228975,1.575
9071314,13.188
6026324,12.934
5374253,6.992
9534205,6.979
7454983,12.138
3837722,14.506
11970190,26.224
4063966,22.827
10011415,19.693
4366110,21.814
8166963,4.685
5208448,20.619
7117918,14.98
6022348,17.403
9906804,7.917
10977133,8.208
3239214,15.516
7047697,1.053
8052325,13.388
8738863,14.383
10514649,23.102
5552319,14.472
10614046,13.222
7340545,11.079
4277862,12.307
11517321,17.405
6043855,8.926
6499873,22.258
5650322,14.392
11468870,13.262
9718641,42.097
10784996,4.678
11180003,15.09
4357578,17.23
5079735,21.726
10972430,21.945
5976295,13.032
6595350,13.853
6213879,14.778
5688154,15.266
3242122,9.786
8510560,8.201
6313603,15.948
10003243,20.502
3554600,20.394
7188017,21.283
5809587,1.53
6448010,6.646
11135674,14.597
11908565,8.731
11076199,13.257
10709570,6.384
6629205,4.572
9467425,9.395
10664679,8.922
11754056,7.495
11551226,16.191
10800830,9.138
8952604,19.116
6591189,14.826
8980010,2.917
7838889,4.465
4571119,14.727
12470673,12.341
8311590,13.401
3121926,10.327
9217682,27.766
7212040,12.503
8227752,32.349
6504830,11.611
2441151,14.937
11299484,5.168
6128145,18.724
6423700,13.302
11360955,9.943
11074452,17.621
4774278,4.715
12066601,13.478
6867166,8.467
11658986,6.85
10545080,9.49
7769544,3.418
11723854,15.755
5282952,9.641
9898736,14.134
7832684,8.059
9470036,14.751
5372141,3.244
6922719,17.172
4818963,15.552
8176919,11.572
8360850,20.159
9160275,16.196
11141320,12.954
2858292,14.478
5978470,12.223
6631512,12.318
8296569,9.837
5110116,17.673
11570683,10.822
9761605,6.293
5942605,1.28
9973073,17.996
7973912,22.578
1717994,2.538
9825812,45.982
10620301,12.297
6696542,18.316
7530847,4.358
6186203,20.769
5559791,15.055
11803373,14.924
4921784,14.023
6183736,1.162
8569838,7.312
3648803,17.401
10528258,15.112
7730872,32.781
7547613,4.738
6779947,13.417
7967253,6.001
9395752,10.829
5383615,15.739
9773214,7.831
10001154,10.394
7907476,2.857
8566072,5.224
4037446,0.777
7200934,7.633
6208382,13.781
3765216,16.82
2713821,22.352
6019923,18.066
5177047,18.841
12168921,14.934
6436590,1.74
10862542,17.148
5193912,9.058
4465314,2.957
8302473,32.281
8843512,4.796
4371103,10.0
10486589,1.572
8378326,16.889
4160876,2.226
4741688,6.079
3970168,5.037
8192490,9.471
8108608,15.226
7120955,13.93
8363095,13.155
9016621,3220.428
10487138,7.958
9668989,8.954
10417308,41.671
8248719,11.835
1849321,18.362
7337938,19.992
4355012,2.945
7122249,15.432
5033804,12.25
4933192,17.338
8085273,6.081
3749581,22.999
6679014,22.91
4540885,9.188
4072955,13.101
5199774,14.5
11255877,17.076
9836825,13.844
6139477,12.118
9041803,2.266
8831942,18.925
8630330,13.48
8499316,13.071
6768355,5.77
5897952,18.626
9941526,11.784
12022669,15.221
4912393,30.066
4551480,19.062
6521016,15.027
3335305,22.102
5357565,14.902
3547916,31.202
7514850,10.8
8589348,17.732
10722313,23.9
5807141,24.093
8759169,16.397
11121569,15.6
9815804,4.615
9697612,15.382
6184044,10.846
5528497,17.036
7273986,14.225
4643976,29.934
11911820,13.359
7201931,10.265
10847937,11.266
5725611,21.19
8172525,9.86
9425664,18.328
8198171,46.91
5547702,15.29
6460612,18.34
4574314,17.778
4264634,12.428
10322913,2.06
9947229,10.935
2444068,13.087
6422854,12.333
11565395,14.104
9341032,20.547
4906891,20.753
8120944,4.057
9452062,10.832
8885304,16.849
10744632,12.729
7281445,22.608
8149053,15.174
3556885,10.16
5960974,23.615
7880924,3.788
6719579,15.329
9836088,23.55
10135862,46.617
7625166,7.844
12166418,5.956
7288291,15.194
9754882,4.975
10089870,17.322
8266356,21.306
4385923,11.919
11520310,43.134
4374861,1.138
3221310,11.174
7271381,17.912
6383356,14.749
11134030,11.457
11038074,14.397
8939987,11.752
5511496,10.952
5808573,13.083
8174245,1.475
2836412,10.271
10723034,10.456
7803049,10.433
11304958,3.173
8581207,4.933
4457582,25.013
10617142,3.733
8826156,12.619
7898677,12.418
5285205,19.584
10355698,14.332
5171031,13.575
5646890,14.135
4677207,18.271
11353213,22.436
12403391,10.653
7979378,16.683
8582680,3.649
8354884,16.332
7540456,8.307
8016180,2.158
8491779,29.537
7353858,11.429
3348847,21.306
1864305,13.354
5772668,46.957
10536030,14.623
10843590,14.281
6208018,31.033
12251908,12.859
7836880,17.294
8575213,4.68
6593461,9.152
9940943,6.366
8496391,21.761
9778632,15.75
8933735,16.297
3246930,10.82
3850609,21.367
11506602,20.785
6343039,16.6
3525381,10.0
2574543,3.971
11297198,21.335
2721030,15.32
9278818,14.689
6284073,46.614
11547102,2321.15
9534585,12.776
6700672,18.173
3953057,6.822
4847475,7.856
7751325,9.205
4584702,24.616
9329322,7.723
5898124,3.795
6756740,1.844
4912175,16.588
3103396,13.785
9175616,6.94
9397647,19.956
8024268,7.256
11247404,17.263
11198449,15.888
9894429,14.071
6677473,3.438
7270773,15.14
9631368,14.094
7811448,4.098
12121293,31.736
10657956,4.697
8028897,21.515
9778123,8.486
4372025,6.488
4578159,6.98
1570617,17.439
12108870,18.168
10284901,0.052
9971860,12.835
11649847,16.916
7959313,17.291
10350908,15.716
12216617,10.611
10513604,14.904
6502767,24.778
2984005,23.492
10644539,14.89
12019642,6.223
11244265,16.023
7368914,1.969
7672969,8.361
10656405,21.267
8182443,13.197
11138484,6.594
7748752,36.086
6520259,2.528
4915996,12.862
3762840,7.035
8565205,13.913
4044649,3.223
7177090,20.698
8292190,21.269
6846510,15.665
9160706,10.031
12061216,19.156
7180298,7.233
3439965,14.813
10544828,7.006
3860240,18.621
10003533,13.878
10933028,17.577
11622315,43.037
10257750,6.223
9667700,16.093
7798984,15.011
8261336,12.278
5771796,16.665
12009027,16.133
5300094,0.938
10843779,19.096
8619736,2.37
9715138,18.115
10554999,17.802
4633721,5.811
11759700,9.884
6517200,18.112
5197844,8.573
9994184,45.761
5027750,26.492
9674564,4.856
9205356,17.884
11751922,15.532
11873553,6.174
4572188,13.404
3526061,23.853
11917397,13.862
11068783,4.382
10965936,20.178
10200814,1.917
9219939,8.541
5871612,19.141
6211757,6.112
8758087,42.168
3940884,16.552
10990267,8.513
7180954,9.716
4578488,7.96
8348568,7.338
9465564,14.01
5865937,8.119
1161092,15.168
8482695,11.284
8818497,1.633
7369620,22.188
3832149,15.998
9895295,20.163
1718367,13.821
7271111,15.84
10026534,13.494
9836541,11.357
9040202,11.667
4823854,13.204
5702251,8.011
6693851,12.858
3330480,11.284
6599913,13.111
8893539,2.415
7659275,19.531
6750866,15.078
4346585,16.125
5857421,4.187
10004846,11.873
3238239,8.048
8962244,10.653
4770232,14.078
4269261,14.914
9569665,10.012
3003769,15.78
11408806,6.42
5395390,19.654
6701398,15.937
8695986,16.933
8570117,2.59
5513586,6.993
10387549,16.653
8395927,13.269
10975610,16.908
7119181,9.42
8629769,5.567
8636933,16.891
4831432,2.798
6436854,5.847
6938073,42.572
6689808,9.774
7699814,1.828
4928270,15.686
10714581,26.538
12256520,17.081
8036554,10.948
11446630,5.265
5341796,12.601
4348593,27.113
12252264,15.114
3098032,4.825
6706000,0.478
8300063,48.126
4156254,10.052
7938355,16.918
7836711,15.979
9160749,19.006
6695801,9.965
10860629,15.043
3974853,2.829
6363940,30.724
10752913,14.69
9844754,13.454
6064061,16.859
